max_focis,n,diff_last_max_focis_first_focis_min_mean,diff_last_max_focis_first_focis_min_sd,diff_last_max_focis_first_focis_min_median,diff_last_max_focis_first_focis_min_mad,diff_last_max_focis_first_focis_min_CV,diff_first_max_focis_first_focis_min_mean,diff_first_max_focis_first_focis_min_sd,diff_first_max_focis_first_focis_min_median,diff_first_max_focis_first_focis_min_mad,diff_first_max_focis_first_focis_min_CV,diff_popping_time_last_max_focis_min_mean,diff_popping_time_last_max_focis_min_sd,diff_popping_time_last_max_focis_min_median,diff_popping_time_last_max_focis_min_mad,diff_popping_time_last_max_focis_min_CV,diff_popping_time_first_max_focis_min_mean,diff_popping_time_first_max_focis_min_sd,diff_popping_time_first_max_focis_min_median,diff_popping_time_first_max_focis_min_mad,diff_popping_time_first_max_focis_min_CV,area_focis_mean,area_focis_sd,area_focis_median,area_focis_mad,area_focis_CV,popping_frame_mean,popping_frame_sd,popping_frame_median,popping_frame_mad,popping_frame_CV,first_focis_frame_mean,first_focis_frame_sd,first_focis_frame_median,first_focis_frame_mad,first_focis_frame_CV,last_max_focis_frame_mean,last_max_focis_frame_sd,last_max_focis_frame_median,last_max_focis_frame_mad,last_max_focis_frame_CV,first_max_focis_frame_mean,first_max_focis_frame_sd,first_max_focis_frame_median,first_max_focis_frame_mad,first_max_focis_frame_CV,max_focis_duration_min_mean,max_focis_duration_min_sd,max_focis_duration_min_median,max_focis_duration_min_mad,max_focis_duration_min_CV,area_mean,area_sd,area_median,area_mad,area_CV
3,9,444.44444444444446,104.6985089568031,416,71.1648,0.23557164515280696,313.77777777777777,110.3288015182094,352,94.8864,0.35161445243055406,-217.77777777777777,136.69105473455255,-240,94.8864,-0.62766300643417,-87.11111111111111,164.99427599499055,-120,177.91199999999998,-1.8940669438200444,1.409458695636806,0.25954167130772604,1.4883558946848894,0.13712532758935078,0.18414280043195078,33.77777777777778,13.339581869175827,25,4.4478,0.3949218316532317,5.444444444444445,4.390646624106497,4,2.9652,0.806445298305275,61,11.968709203585824,60,8.8956,0.1962083475997676,44.666666666666664,13.152946437965905,50,11.8608,0.2944689501037143,130.66666666666666,167.47537132366656,16,23.7216,1.281699270334183,4.228376086910418,0.7786250139231782,4.465067684054668,0.41137598276805204,0.1841428004319508
4,13,360,174.47826989819296,304,106.74719999999999,0.4846618608283138,256.61538461538464,122.48369854905758,208,83.0256,0.4773045806767831,-57.84615384615385,145.80914817770417,-8,11.8608,-2.5206368700932904,45.53846153846154,226.49525947379686,24,59.303999999999995,4.973713468174593,0.9499053038486123,0.20123391722505618,0.9247018362554397,0.2044489702534734,0.21184629289860993,42.23076923076923,21.311787998483556,39,14.825999999999999,0.5046507176325796,4.461538461538462,2.904461643041174,3,1.4826,0.6510000234402631,49.46153846153846,21.329226367496254,44,8.8956,0.43122852687006424,36.53846153846154,14.886321375765206,32,11.8608,0.4074151113367319,103.38461538461539,159.58150397291163,72,71.1648,1.5435710949760797,3.799621215394449,0.8049356689002247,3.6988073450217587,0.8177958810138936,0.21184629289860993
5,26,270.7692307692308,119.01875740984954,240,53.373599999999996,0.4395579108886489,243.69230769230768,102.70531407118884,224,83.0256,0.4214548872870754,-31.076923076923077,146.10596786631902,0,23.7216,-4.701429659064721,-4,122.4026143511649,28,41.5128,-30.600653587791225,0.7762049750617469,0.1443734456158741,0.7468768213703874,0.15035366612119497,0.18599912427047924,35.26923076923077,8.258608562258862,34.5,8.1543,0.2341590213944716,5.3076923076923075,2.8109675312138456,5,2.9652,0.5296025783446376,39.15384615384615,13.918885897060319,36.5,5.1891,0.355492174188181,35.76923076923077,11.765399074600715,34,7.412999999999999,0.32892513541894475,27.076923076923077,39.65140408805023,8,11.8608,1.4643984464336732,3.8810248753087344,0.7218672280793705,3.7343841068519366,0.7517683306059748,0.18599912427047927
6,26,305.84615384615387,140.3868063053483,272,112.6776,0.4590111876180905,284,125.27601526229991,264,112.6776,0.44111272979683064,-41.53846153846154,163.93589741584503,0,29.651999999999997,-3.946604937788862,-19.692307692307693,146.34938174950224,8,47.4432,-7.43180454196691,0.7032958588678261,0.1524800477011064,0.6732263106741285,0.17573211749453224,0.21680782814016647,38.23076923076923,11.669816424632197,37,9.636899999999999,0.30524670728414194,5.1923076923076925,2.939649377313298,4.5,2.2239,0.5661546948899685,43.42307692307692,18.10673482861684,38,11.8608,0.416984150171867,40.69230769230769,16.36036486333781,37,14.0847,0.4020505542975265,21.846153846153847,42.66679487160226,0,0,1.9530575117282722,4.219775153206957,0.9148802862066384,4.039357864044772,1.0543927049671935,0.21680782814016644
7,14,318.85714285714283,124.80067624499793,292,94.8864,0.3913999703024129,301.7142857142857,127.20633061860778,284,88.95599999999999,0.4216118912548553,-23.428571428571427,118.76137308175473,0,29.651999999999997,-5.069082997391971,-6.285714285714286,125.75643649007122,16,23.7216,-20.006705805238603,0.5914287464117913,0.07107762530077703,0.591752335044211,0.08332742216476383,0.12017952413034748,40.42857142857143,9.951530888911869,42.5,9.636899999999999,0.24615094071513455,3.5,1.9115036368906426,3,1.4826,0.5461438962544694,43.357142857142854,15.385343389368701,41,14.0847,0.35485141260487946,41.214285714285715,15.826844631480116,39,11.8608,0.38401356124908426,17.142857142857142,37.50457847507963,0,0,2.1877670777129787,4.140001224882539,0.49754337710543917,4.142266345309476,0.5832919551533465,0.12017952413034746
8,10,327.2,133.14386538210798,276,142.3296,0.4069189039795476,291.2,114.399689199267,248,71.1648,0.3928560755469334,-58.4,125.93049229193416,-8,29.651999999999997,-2.156344046094763,-22.4,122.30671826736801,0,17.7912,-5.460121351221787,0.5503054183737263,0.1068325331541853,0.5204939892173368,0.03638379712193006,0.1941331660333256,37,9.72967967955095,37.5,9.636899999999999,0.26296431566353917,3.4,1.7126976771553504,3,0.7413,0.5037346109280443,44.3,16.214191315017842,41,17.7912,0.36600883329611383,39.8,13.942740046346701,36,11.119499999999999,0.35032010166700256,36,75.91808450926271,0,0,2.108835680812853,4.40244334698981,0.8546602652334824,4.1639519137386944,0.29107037697544047,0.1941331660333256
9,7,376,130.39427390290828,336,71.1648,0.34679328165667095,355.42857142857144,93.62132439221516,336,71.1648,0.2634040477272934,-150.85714285714286,172.96958169133725,-128,201.6336,-1.146578666514546,-130.28571428571428,143.75640772468114,-88,142.3296,-1.1033934803429475,0.5165103154531475,0.07307428561569367,0.5390473732926524,0.08564594873935315,0.14147691426372339,33.285714285714285,9.464218328601078,33,11.8608,0.2843327394858693,5.142857142857143,3.625307868699863,4,2.9652,0.7049209744694177,52.142857142857146,16.231949681914077,44,8.8956,0.3112976651325987,49.57142857142857,11.84422704467093,44,8.8956,0.23893253404235307,20.571428571428573,39.69406816665492,0,0,1.9295727581012807,4.6485928390783275,0.657668570541243,4.851426359633872,0.770813538654177,0.14147691426372336
10,2,272,56.568542494923804,272,59.303999999999995,0.20797258270192576,252,50.91168824543142,252,53.373599999999996,0.20203050891044214,-16,11.313708498984761,-16,11.8608,-0.7071067811865476,4,16.97056274847714,4,17.7912,4.242640687119285,0.5119040342845627,0.029146557458067133,0.5119040342845627,0.030555983365636852,0.05693754201176081,34.5,9.192388155425117,34.5,9.636899999999999,0.2664460334905831,2.5,0.7071067811865476,2.5,0.7413,0.282842712474619,36.5,7.7781745930520225,36.5,8.1543,0.2131006737822472,34,7.0710678118654755,34,7.412999999999999,0.20797258270192576,20,5.656854249492381,20,5.9304,0.282842712474619,5.119040342845627,0.2914655745806716,5.119040342845627,0.30555983365636885,0.05693754201176087
11,1,304,NA,304,0,NA,304,NA,304,0,NA,-8,NA,-8,0,NA,-8,NA,-8,0,NA,0.4610763201084589,NA,0.4610763201084589,0,NA,39,NA,39,0,NA,2,NA,2,0,NA,40,NA,40,0,NA,40,NA,40,0,NA,0,NA,0,0,NA,5.071839521193048,NA,5.071839521193048,0,NA
